filename;identity;3rd-Party Name;Attributes;AttributesPublic;AttributesStatic;Classes;Comments/Loc;EmptyCatches;EmptyOrNoCatch;F-Args;F-Args Name;F-GodFnRloc;F-Mccc;F-Mccc Name;F-Mccc-1/F-RLoc;F-Mccc-1/F-RLoc Name;F-Nl;F-Nl Name;F-RLoc;F-RLoc Name;F-RLoc10+;F-RLoc100+;F-RLoc20+;F-RLoc200+;F-RLoc50+;FriendClasses;Functions;FunctionsUncommented;Hacks;IsGenerated;Lines140+;Loc;Loc Comment;Loc Outcommented;Mccc;Nl;Nl0+;Nl1+;Nl1+%;Nl1+Mean;Nl10+;Nl10+%;Nl10+Mean;Nl2+;Nl2+%;Nl2+Mean;Nl3+;Nl3+%;Nl3+Mean;Nl4+;Nl4+%;Nl4+Mean;Nl5+;Nl5+%;Nl5+Mean;Nl6+;Nl6+%;Nl6+Mean;Nl7+;Nl7+%;Nl7+Mean;Nl8+;Nl8+%;Nl8+Mean;Nl9+;Nl9+%;Nl9+Mean;NlMean;RLoc;Templates;Todos;Try-Nl;Trys;Trys w/o catch;Uncommented Complexity
source/codegeneration/glbinding_features.h;921;;0.0;0.0;0.0;0.0;0.019774011299400002;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1.0;2;354;7;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;0;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_getStringByBitfield.cpp;809;;1.0;1.0;0.0;0.0;0.00714285714286;0.0;0.0;1.0;getString, line 27;;2.0;getString, line 27;0.25;getString, line 27;1.0;getString, line 27;4.0;getString, line 27;0.0;0.0;0.0;0.0;0.0;0.0;23.0;0.0;0;;0;280;2;0;24;1.0;92;23;0.25;1.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.25;119;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/types_to_string.cpp;1311;;0.0;0.0;0.0;0.0;0.039331366765;0.0;0.0;2.0;operator<<, line 18;;129.0;operator<<, line 421;0.49805447470799996;operator<<, line 421;1.0;operator<<, line 421;257.0;operator<<, line 421;1.0;1.0;1.0;1.0;1.0;0.0;33.0;1.0;0;;0;1017;40;5;129;1.0;327;128;0.391437308869;1.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.391437308869;392;5.0;0;0.0;0.0;0.0;118
source/glbinding-aux/source/ContextInfo.cpp;365;;1.0;1.0;0.0;0.0;0.0289256198347;0.0;0.0;4.0;supported, line 141;20.0;7.0;extensions, line 44;0.4;insertExtension, line 23;3.0;extensions, line 44;20.0;extensions, line 44;3.0;0.0;1.0;0.0;0.0;0.0;14.0;1.0;0;;0;242;7;0;19;3.0;74;34;0.459459459459;1.3529411764700001;0;0.0;0;11;0.14864864864900001;2.09090909091;1;0.013513513513499999;3.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.621621621622;103;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/logging.cpp;665;;4.0;4.0;0.0;0.0;0.011673151751000001;0.0;0.0;2.0;operator<<, line 53;;4.0;operator<<, line 53;0.2;stop, line 127;3.0;startWriter, line 168;24.0;operator<<, line 53;3.0;0.0;1.0;0.0;0.0;0.0;18.0;0.0;0;;0;257;3;0;9;3.0;86;21;0.24418604651200002;1.38095238095;0;0.0;0;6;0.06976744186049999;2.33333333333;2;0.023255813953499998;3.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.33720930232600005;115;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/types_to_string_private.h;1313;;0.0;0.0;0.0;0.0;0.017857142857099998;0.0;0.0;1.0;bitfieldString, line 17;;5.0;bitfieldString, line 17;0.235294117647;bitfieldString, line 17;2.0;bitfieldString, line 17;17.0;bitfieldString, line 17;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;;0;56;1;0;5;2.0;17;12;0.705882352941;1.33333333333;0;0.0;0;4;0.235294117647;2.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.941176470588;21;1.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta.cpp;367;;1.0;1.0;0.0;0.0;0.015243902439;0.0;0.0;2.0;alphabeticalGroupIndex, line 46;;5.0;extensions, line 200;0.428571428571;alphabeticalGroupIndex, line 46;3.0;extensions, line 200;14.0;functions, line 258;3.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0;;0;328;5;0;31;3.0;109;35;0.321100917431;1.22857142857;0;0.0;0;7;0.0642201834862;2.1428571428599996;1;0.009174311926610001;3.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.394495412844;136;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/logging_private.h;1310;;1.0;1.0;0.0;0.0;0.047619047619;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;21;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;11;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/glrevision.h;1309;;0.0;0.0;0.0;0.0;0.166666666667;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;12;2;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;2;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_ExtensionsByString.cpp;372;;1.0;1.0;0.0;0.0;0.00137931034483;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;725;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;654;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_BooleansByString.cpp;369;;1.0;1.0;0.0;0.0;0.047619047619;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;21;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;5;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_StringsByEnum.cpp;378;;1.0;1.0;0.0;0.0;0.000274348422497;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;1;3645;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;3629;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_BitfieldsByString.cpp;368;;1.0;1.0;0.0;0.0;0.003125;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;1;320;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;237;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_ReqVersionsByExtension.cpp;375;;1.0;1.0;0.0;0.0;0.00666666666667;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;150;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;133;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_StringsByBoolean.cpp;377;;1.0;1.0;0.0;0.0;0.047619047619;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;21;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;5;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_FunctionStringsByVersion.cpp;1258;;0.0;0.0;0.0;0.0;0.0540540540541;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;17;37;2;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;21;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_StringsByExtension.cpp;379;;1.0;1.0;0.0;0.0;0.0016233766233800003;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;0;616;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;600;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/Meta_EnumsByString.cpp;370;;1.0;1.0;0.0;0.0;0.000202593192869;0.0;0.0;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;;1;4936;1;0;1;;0;0;0.0;0.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.0;4841;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/debug.cpp;1329;;1.0;1.0;0.0;0.0;0.0375;0.0;0.0;1.0;readableErrorCode, line 17;;7.0;readableErrorCode, line 17;0.4;readableErrorCode, line 17;2.0;registerGetErrorCallback, line 48;15.0;readableErrorCode, line 17;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0;;0;80;3;0;9;2.0;25;19;0.76;1.05263157895;0;0.0;0;1;0.04;2.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.8;32;0.0;0;0.0;0.0;0.0;0
source/glbinding-aux/source/ValidVersions.cpp;1308;;0.0;0.0;0.0;0.0;0.016393442623;0.0;0.0;1.0;isValid, line 9;;3.0;preceeding, line 36;0.4;preceeding, line 36;1.0;nearest, line 14;5.0;preceeding, line 36;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0;;0;61;1;0;6;1.0;17;5;0.294117647059;1.0;0;0.0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0;0.0;0;0;0.0;0;0.294117647059;24;0.0;0;0.0;0.0;0.0;0
